ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
"20";"716146";"716146";"Grammitis stipitata";"Proctor, 1966";"";"";"ES";"Polypodiaceae";"Guadeloupe";"";"CR";"B2ab(iii,iv,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716148";"716148";"Hecistopteris pumila";"(Spreng.) J.Sm., 1842";"";"";"ES";"Pteridaceae";"";"";"CR";"B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629873";"634057";"Hieronyma laxiflora";"(Tul.) Müll.Arg., 1865";"Bois d’amande";"";"ES";"Phyllanthaceae";"";"";"CR";"C2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716150";"716150";"Hymenophyllum latifrons ";"Bosch, 1859";"";"";"ES";"Hymenophyllaceae";"";"";"CR";"B2ab(iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"629910";"629910";"Ionopsis satyrioides ";"(Sw.) Rchb.f., 1863";"";"";"ES";"Orchidaceae";"";"";"CR";"B2ab(ii,iii,v)";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"716160";"716160";"Lindsaea lherminieri ";"Fée, 1866";"";"";"ES";"Lindsaeaceae";"Guadeloupe";"";"CR";"C1+2a(i) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630059";"630059";"Lonchocarpus roseus ";"DC., 1825";"Savonnette bois";"";"ES";"Fabaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"442057";"442057";"Megaceryle torquata";"(Linnaeus, 1766)";"Martin-pêcheur à ventre roux";"";"ES";"Alcedinidae";"";"";"CR";"B2ab(i,ii,iii,iv,v) C2a(ii) D";"";"2012";"LC";"";"";"Liste rouge des oiseaux nicheurs de Guadeloupe";"Oiseaux_Guadeloupe_nicheurs_2012";"Oiseaux";
"20";"447021";"447021";"Melocactus intortus ";"(Mill.) Urb., 1919";"Tête à l’Anglais";"";"ES";"Cactaceae";"";"";"CR";"B2ab(ii,iii,v)";"";"2013";"LC";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"713196";"713196";"Mormolyca pudica ";"(Carnevali & Tapia-Muñoz) M.A.Blanco, 2007";"";"";"ES";"Orchidaceae";"";"";"CR";"C2a(i,ii) D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
"20";"630231";"630231";"Nymphaea rudgeana ";"G.Mey., 1818";"Chapeau d’eau";"";"ES";"Nymphaeaceae";"";"";"CR";"D";"";"2013";"";"";"";"Liste rouge de la Flore vasculaire de Guadeloupe - 1";"Flore_vasculaire_Guadeloupe_1_2013";"Plantes, mousses et fougères";
